java -jar TokenRingUDP.jar 192.168.2.108 50126
UDP endpoint is (192.168.2.108, 59811)
Token: seq=2, #members=2 (192.168.2.108, 50126) (192.168.2.108, 59811)
Token: seq=4, #members=2 (192.168.2.108, 50126) (192.168.2.108, 59811)
Token: seq=6, #members=2 (192.168.2.108, 50126) (192.168.2.108, 59811)
Token: seq=8, #members=2 (192.168.2.108, 50126) (192.168.2.108, 59811)
Token: seq=10, #members=2 (192.168.2.108, 50126) (192.168.2.108, 59811)
Token: seq=12, #members=2 (192.168.2.108, 50126) (192.168.2.108, 59811)
Token: seq=14, #members=2 (192.168.2.108, 50126) (192.168.2.108, 59811)
Token: seq=16, #members=2 (192.168.2.108, 50126) (192.168.2.108, 59811)
Token: seq=18, #members=2 (192.168.2.108, 50126) (192.168.2.108, 59811)
Token: seq=20, #members=2 (192.168.2.108, 50126) (192.168.2.108, 59811)
Token: seq=22, #members=3 (192.168.2.108, 50126) (192.168.2.198, 50664) (192.168.2.108, 59811)
Token: seq=25, #members=3 (192.168.2.108, 50126) (192.168.2.198, 50664) (192.168.2.108, 59811)
Token: seq=28, #members=3 (192.168.2.108, 50126) (192.168.2.198, 50664) (192.168.2.108, 59811)
Token: seq=31, #members=3 (192.168.2.108, 50126) (192.168.2.198, 50664) (192.168.2.108, 59811)
Token: seq=34, #members=3 (192.168.2.108, 50126) (192.168.2.198, 50664) (192.168.2.108, 59811)
Token: seq=37, #members=3 (192.168.2.108, 50126) (192.168.2.198, 50664) (192.168.2.108, 59811)
Token: seq=40, #members=3 (192.168.2.108, 50126) (192.168.2.198, 50664) (192.168.2.108, 59811)
Token: seq=43, #members=3 (192.168.2.108, 50126) (192.168.2.198, 50664) (192.168.2.108, 59811)
Token: seq=46, #members=3 (192.168.2.108, 50126) (192.168.2.198, 50664) (192.168.2.108, 59811)
Token: seq=49, #members=3 (192.168.2.108, 50126) (192.168.2.198, 50664) (192.168.2.108, 59811)
Token: seq=52, #members=3 (192.168.2.108, 50126) (192.168.2.198, 50664) (192.168.2.108, 59811)
Token: seq=55, #members=3 (192.168.2.108, 50126) (192.168.2.198, 50664) (192.168.2.108, 59811)
Token: seq=58, #members=3 (192.168.2.108, 50126) (192.168.2.198, 50664) (192.168.2.108, 59811)
Token: seq=61, #members=3 (192.168.2.108, 50126) (192.168.2.198, 50664) (192.168.2.108, 59811)
Token: seq=64, #members=3 (192.168.2.108, 50126) (192.168.2.198, 50664) (192.168.2.108, 59811)
Token: seq=67, #members=3 (192.168.2.108, 50126) (192.168.2.198, 50664) (192.168.2.108, 59811)
Token: seq=70, #members=3 (192.168.2.108, 50126) (192.168.2.198, 50664) (192.168.2.108, 59811)
Token: seq=73, #members=3 (192.168.2.108, 50126) (192.168.2.198, 50664) (192.168.2.108, 59811)
Token: seq=76, #members=3 (192.168.2.108, 50126) (192.168.2.198, 50664) (192.168.2.108, 59811)
Token: seq=79, #members=3 (192.168.2.108, 50126) (192.168.2.198, 50664) (192.168.2.108, 59811)
Token: seq=82, #members=3 (192.168.2.108, 50126) (192.168.2.198, 50664) (192.168.2.108, 59811)
Token: seq=85, #members=3 (192.168.2.108, 50126) (192.168.2.198, 50664) (192.168.2.108, 59811)
Token: seq=88, #members=3 (192.168.2.108, 50126) (192.168.2.198, 50664) (192.168.2.108, 59811)
Token: seq=91, #members=3 (192.168.2.108, 50126) (192.168.2.198, 50664) (192.168.2.108, 59811)
Token: seq=94, #members=3 (192.168.2.108, 50126) (192.168.2.198, 50664) (192.168.2.108, 59811)
Token: seq=97, #members=4 (192.168.2.108, 50126) (192.168.2.198, 50664) (192.168.2.198, 60632) (192.168.2.108, 59811)
Token: seq=101, #members=4 (192.168.2.108, 50126) (192.168.2.198, 50664) (192.168.2.198, 60632) (192.168.2.108, 59811)
Token: seq=105, #members=4 (192.168.2.108, 50126) (192.168.2.198, 50664) (192.168.2.198, 60632) (192.168.2.108, 59811)
Token: seq=109, #members=4 (192.168.2.108, 50126) (192.168.2.198, 50664) (192.168.2.198, 60632) (192.168.2.108, 59811)
Token: seq=113, #members=4 (192.168.2.108, 50126) (192.168.2.198, 50664) (192.168.2.198, 60632) (192.168.2.108, 59811)
Token: seq=117, #members=4 (192.168.2.108, 50126) (192.168.2.198, 50664) (192.168.2.198, 60632) (192.168.2.108, 59811)
Token: seq=121, #members=4 (192.168.2.108, 50126) (192.168.2.198, 50664) (192.168.2.198, 60632) (192.168.2.108, 59811)
Token: seq=125, #members=4 (192.168.2.108, 50126) (192.168.2.198, 50664) (192.168.2.198, 60632) (192.168.2.108, 59811)
Token: seq=129, #members=4 (192.168.2.108, 50126) (192.168.2.198, 50664) (192.168.2.198, 60632) (192.168.2.108, 59811)
Token: seq=133, #members=4 (192.168.2.108, 50126) (192.168.2.198, 50664) (192.168.2.198, 60632) (192.168.2.108, 59811)
Token: seq=137, #members=4 (192.168.2.108, 50126) (192.168.2.198, 50664) (192.168.2.198, 60632) (192.168.2.108, 59811)
Token: seq=141, #members=4 (192.168.2.108, 50126) (192.168.2.198, 50664) (192.168.2.198, 60632) (192.168.2.108, 59811)
Token: seq=145, #members=4 (192.168.2.108, 50126) (192.168.2.198, 50664) (192.168.2.198, 60632) (192.168.2.108, 59811)
Token: seq=149, #members=4 (192.168.2.108, 50126) (192.168.2.198, 50664) (192.168.2.198, 60632) (192.168.2.108, 59811)
Token: seq=153, #members=4 (192.168.2.108, 50126) (192.168.2.198, 50664) (192.168.2.198, 60632) (192.168.2.108, 59811)
Token: seq=157, #members=4 (192.168.2.108, 50126) (192.168.2.198, 50664) (192.168.2.198, 60632) (192.168.2.108, 59811)
Token: seq=161, #members=4 (192.168.2.108, 50126) (192.168.2.198, 50664) (192.168.2.198, 60632) (192.168.2.108, 59811)
Token: seq=165, #members=4 (192.168.2.108, 50126) (192.168.2.198, 50664) (192.168.2.198, 60632) (192.168.2.108, 59811)
Token: seq=169, #members=4 (192.168.2.108, 50126) (192.168.2.198, 50664) (192.168.2.198, 60632) (192.168.2.108, 59811)
Token: seq=173, #members=4 (192.168.2.108, 50126) (192.168.2.198, 50664) (192.168.2.198, 60632) (192.168.2.108, 59811)
Token: seq=177, #members=4 (192.168.2.108, 50126) (192.168.2.198, 50664) (192.168.2.198, 60632) (192.168.2.108, 59811)
Token: seq=181, #members=4 (192.168.2.108, 50126) (192.168.2.198, 50664) (192.168.2.198, 60632) (192.168.2.108, 59811)
Token: seq=185, #members=4 (192.168.2.108, 50126) (192.168.2.198, 50664) (192.168.2.198, 60632) (192.168.2.108, 59811)
Token: seq=189, #members=4 (192.168.2.108, 50126) (192.168.2.198, 50664) (192.168.2.198, 60632) (192.168.2.108, 59811)
Token: seq=193, #members=4 (192.168.2.108, 50126) (192.168.2.198, 50664) (192.168.2.198, 60632) (192.168.2.108, 59811)
Token: seq=197, #members=4 (192.168.2.108, 50126) (192.168.2.198, 50664) (192.168.2.198, 60632) (192.168.2.108, 59811)
Token: seq=201, #members=4 (192.168.2.108, 50126) (192.168.2.198, 50664) (192.168.2.198, 60632) (192.168.2.108, 59811)
Token: seq=205, #members=4 (192.168.2.108, 50126) (192.168.2.198, 50664) (192.168.2.198, 60632) (192.168.2.108, 59811)
Token: seq=209, #members=4 (192.168.2.108, 50126) (192.168.2.198, 50664) (192.168.2.198, 60632) (192.168.2.108, 59811)
Token: seq=213, #members=4 (192.168.2.108, 50126) (192.168.2.198, 50664) (192.168.2.198, 60632) (192.168.2.108, 59811)
Token: seq=217, #members=4 (192.168.2.108, 50126) (192.168.2.198, 50664) (192.168.2.198, 60632) (192.168.2.108, 59811)
Token: seq=221, #members=4 (192.168.2.108, 50126) (192.168.2.198, 50664) (192.168.2.198, 60632) (192.168.2.108, 59811)
