java -jar TokenRingUDP.jar 192.168.2.198, 50664
UDP endpoint is (192.168.2.198, 60632)
Token: seq=100, #members=4 (192.168.2.108, 59811) (192.168.2.108, 50126) (192.168.2.198, 50664) (192.168.2.198, 60632)
Token: seq=104, #members=4 (192.168.2.108, 59811) (192.168.2.108, 50126) (192.168.2.198, 50664) (192.168.2.198, 60632)
Token: seq=108, #members=4 (192.168.2.108, 59811) (192.168.2.108, 50126) (192.168.2.198, 50664) (192.168.2.198, 60632)
Token: seq=112, #members=4 (192.168.2.108, 59811) (192.168.2.108, 50126) (192.168.2.198, 50664) (192.168.2.198, 60632)
Token: seq=116, #members=4 (192.168.2.108, 59811) (192.168.2.108, 50126) (192.168.2.198, 50664) (192.168.2.198, 60632)
Token: seq=120, #members=4 (192.168.2.108, 59811) (192.168.2.108, 50126) (192.168.2.198, 50664) (192.168.2.198, 60632)
Token: seq=124, #members=4 (192.168.2.108, 59811) (192.168.2.108, 50126) (192.168.2.198, 50664) (192.168.2.198, 60632)
Token: seq=128, #members=4 (192.168.2.108, 59811) (192.168.2.108, 50126) (192.168.2.198, 50664) (192.168.2.198, 60632)
Token: seq=132, #members=4 (192.168.2.108, 59811) (192.168.2.108, 50126) (192.168.2.198, 50664) (192.168.2.198, 60632)
Token: seq=136, #members=4 (192.168.2.108, 59811) (192.168.2.108, 50126) (192.168.2.198, 50664) (192.168.2.198, 60632)
Token: seq=140, #members=4 (192.168.2.108, 59811) (192.168.2.108, 50126) (192.168.2.198, 50664) (192.168.2.198, 60632)
Token: seq=144, #members=4 (192.168.2.108, 59811) (192.168.2.108, 50126) (192.168.2.198, 50664) (192.168.2.198, 60632)
Token: seq=148, #members=4 (192.168.2.108, 59811) (192.168.2.108, 50126) (192.168.2.198, 50664) (192.168.2.198, 60632)
Token: seq=152, #members=4 (192.168.2.108, 59811) (192.168.2.108, 50126) (192.168.2.198, 50664) (192.168.2.198, 60632)
Token: seq=156, #members=4 (192.168.2.108, 59811) (192.168.2.108, 50126) (192.168.2.198, 50664) (192.168.2.198, 60632)
Token: seq=160, #members=4 (192.168.2.108, 59811) (192.168.2.108, 50126) (192.168.2.198, 50664) (192.168.2.198, 60632)
Token: seq=164, #members=4 (192.168.2.108, 59811) (192.168.2.108, 50126) (192.168.2.198, 50664) (192.168.2.198, 60632)
Token: seq=168, #members=4 (192.168.2.108, 59811) (192.168.2.108, 50126) (192.168.2.198, 50664) (192.168.2.198, 60632)
Token: seq=172, #members=4 (192.168.2.108, 59811) (192.168.2.108, 50126) (192.168.2.198, 50664) (192.168.2.198, 60632)
Token: seq=176, #members=4 (192.168.2.108, 59811) (192.168.2.108, 50126) (192.168.2.198, 50664) (192.168.2.198, 60632)
Token: seq=180, #members=4 (192.168.2.108, 59811) (192.168.2.108, 50126) (192.168.2.198, 50664) (192.168.2.198, 60632)
Token: seq=184, #members=4 (192.168.2.108, 59811) (192.168.2.108, 50126) (192.168.2.198, 50664) (192.168.2.198, 60632)
Token: seq=188, #members=4 (192.168.2.108, 59811) (192.168.2.108, 50126) (192.168.2.198, 50664) (192.168.2.198, 60632)
Token: seq=192, #members=4 (192.168.2.108, 59811) (192.168.2.108, 50126) (192.168.2.198, 50664) (192.168.2.198, 60632)
Token: seq=196, #members=4 (192.168.2.108, 59811) (192.168.2.108, 50126) (192.168.2.198, 50664) (192.168.2.198, 60632)
Token: seq=200, #members=4 (192.168.2.108, 59811) (192.168.2.108, 50126) (192.168.2.198, 50664) (192.168.2.198, 60632)
Token: seq=204, #members=4 (192.168.2.108, 59811) (192.168.2.108, 50126) (192.168.2.198, 50664) (192.168.2.198, 60632)
Token: seq=208, #members=4 (192.168.2.108, 59811) (192.168.2.108, 50126) (192.168.2.198, 50664) (192.168.2.198, 60632)
Token: seq=212, #members=4 (192.168.2.108, 59811) (192.168.2.108, 50126) (192.168.2.198, 50664) (192.168.2.198, 60632)
Token: seq=216, #members=4 (192.168.2.108, 59811) (192.168.2.108, 50126) (192.168.2.198, 50664) (192.168.2.198, 60632)
Token: seq=220, #members=4 (192.168.2.108, 59811) (192.168.2.108, 50126) (192.168.2.198, 50664) (192.168.2.198, 60632)
Token: seq=224, #members=4 (192.168.2.108, 59811) (192.168.2.108, 50126) (192.168.2.198, 50664) (192.168.2.198, 60632)
