Programm 1:
UDP endpoint is (192.168.188.22, 65274)
Token: seq=0, #members=1 (192.168.188.22, 57937)
Token: seq=1, #members=2 (192.168.188.22, 57937) (192.168.188.22, 65274)
Token: seq=3, #members=2 (192.168.188.22, 57937) (192.168.188.22, 65274)
Token: seq=0, #members=1 (192.168.188.22, 61969)
Token: seq=5, #members=2 (192.168.188.22, 57937) (192.168.188.22, 65274)
Token: seq=7, #members=3 (192.168.188.22, 61969) (192.168.188.22, 57937) (192.168.188.22, 65274)
Token: seq=10, #members=3 (192.168.188.22, 61969) (192.168.188.22, 57937) (192.168.188.22, 65274)
Token: seq=13, #members=3 (192.168.188.22, 61969) (192.168.188.22, 57937) (192.168.188.22, 65274)
Token: seq=16, #members=3 (192.168.188.22, 61969) (192.168.188.22, 57937) (192.168.188.22, 65274)
Token: seq=19, #members=3 (192.168.188.22, 61969) (192.168.188.22, 57937) (192.168.188.22, 65274)
Token: seq=22, #members=3 (192.168.188.22, 61969) (192.168.188.22, 57937) (192.168.188.22, 65274)
Token: seq=25, #members=3 (192.168.188.22, 61969) (192.168.188.22, 57937) (192.168.188.22, 65274)
Token: seq=28, #members=3 (192.168.188.22, 61969) (192.168.188.22, 57937) (192.168.188.22, 65274)
Token: seq=31, #members=3 (192.168.188.22, 61969) (192.168.188.22, 57937) (192.168.188.22, 65274)
Token: seq=34, #members=3 (192.168.188.22, 61969) (192.168.188.22, 57937) (192.168.188.22, 65274)
Token: seq=37, #members=3 (192.168.188.22, 61969) (192.168.188.22, 57937) (192.168.188.22, 65274)
Token: seq=40, #members=3 (192.168.188.22, 61969) (192.168.188.22, 57937) (192.168.188.22, 65274)
Token: seq=43, #members=3 (192.168.188.22, 61969) (192.168.188.22, 57937) (192.168.188.22, 65274)
Token: seq=46, #members=3 (192.168.188.22, 61969) (192.168.188.22, 57937) (192.168.188.22, 65274)
Token: seq=49, #members=3 (192.168.188.22, 61969) (192.168.188.22, 57937) (192.168.188.22, 65274)
Token: seq=52, #members=3 (192.168.188.22, 61969) (192.168.188.22, 57937) (192.168.188.22, 65274)

Programm 2:
UDP endpoint is (192.168.188.22, 57937)
Token: seq=2, #members=2 (192.168.188.22, 65274) (192.168.188.22, 57937)
Token: seq=4, #members=2 (192.168.188.22, 65274) (192.168.188.22, 57937)
Token: seq=6, #members=3 (192.168.188.22, 65274) (192.168.188.22, 61969) (192.168.188.22, 57937)
Token: seq=9, #members=3 (192.168.188.22, 65274) (192.168.188.22, 61969) (192.168.188.22, 57937)
Token: seq=12, #members=3 (192.168.188.22, 65274) (192.168.188.22, 61969) (192.168.188.22, 57937)
Token: seq=15, #members=3 (192.168.188.22, 65274) (192.168.188.22, 61969) (192.168.188.22, 57937)
Token: seq=18, #members=3 (192.168.188.22, 65274) (192.168.188.22, 61969) (192.168.188.22, 57937)
Token: seq=21, #members=3 (192.168.188.22, 65274) (192.168.188.22, 61969) (192.168.188.22, 57937)
Token: seq=24, #members=3 (192.168.188.22, 65274) (192.168.188.22, 61969) (192.168.188.22, 57937)
Token: seq=27, #members=3 (192.168.188.22, 65274) (192.168.188.22, 61969) (192.168.188.22, 57937)
Token: seq=30, #members=3 (192.168.188.22, 65274) (192.168.188.22, 61969) (192.168.188.22, 57937)
Token: seq=33, #members=3 (192.168.188.22, 65274) (192.168.188.22, 61969) (192.168.188.22, 57937)
Token: seq=36, #members=3 (192.168.188.22, 65274) (192.168.188.22, 61969) (192.168.188.22, 57937)
Token: seq=39, #members=3 (192.168.188.22, 65274) (192.168.188.22, 61969) (192.168.188.22, 57937)
Token: seq=42, #members=3 (192.168.188.22, 65274) (192.168.188.22, 61969) (192.168.188.22, 57937)
Token: seq=45, #members=3 (192.168.188.22, 65274) (192.168.188.22, 61969) (192.168.188.22, 57937)
Token: seq=48, #members=3 (192.168.188.22, 65274) (192.168.188.22, 61969) (192.168.188.22, 57937)
Token: seq=51, #members=3 (192.168.188.22, 65274) (192.168.188.22, 61969) (192.168.188.22, 57937)
Token: seq=54, #members=3 (192.168.188.22, 65274) (192.168.188.22, 61969) (192.168.188.22, 57937)
